Date,Ticker,Speaker,Speaker_Type,Text,session,Content_Type,Description,Role,WC,Analytic,Clout,Authentic,Tone,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
2021-01-28,AAPL,Tim Cook,executive,"Yes. There are several markets, as I alluded to before. India is one of those, where our share is quite low. It did improve from the year-ago quarter. Our business roughly doubled over that period of time. And so we feel very good about the trajectory. We are doing a number of things in the area. We put the online store there, for example, and last quarter was the first full quarter of the online store. And that has gotten a great reaction to it and has helped us achieve the results that we got to last quarter. We're also going in there with retail stores in the future. And so we look for that to be another great initiative and we continue to develop the channel as well. And so there's lots of things, not only in India but in several of the other markets that you might name where our share is lower than we would like. And I -- again, I would also say, even in the developed markets, when you look at our share, definitely, everybody doesn't have an iPhone, not even close. And so, we really don't have a significant share in any market. So, there's headroom left even in those developed markets where you might hear that.",question_answer,Unscripted,Chief Executive Officer,executive,213,29.13,91.32,41.55,92.81,15.02,63.85,16.43,9.39,1.41,6.57,1.41,0,0,7.04,7.04,14.08,9.86,12.21,9.39,1.88,15.49,3.76,2.35,1.88,3.29,2.82,6.1,5.16,0.94,0,0,0.94,11.74,0,0,0,0,8.92,0.47,1.41,0.94,2.35,0.94,2.82,2.35,0.94,0.94,0.47,0,0,0,0,0,14.08,8.45,1.88,1.41,2.82,0,3.29,11.74,1.88,15.96,0.94,8.92,6.1,5.16,0.47,0,4.69,0,0,0.94,0,0,0.47,0.47,0,16.9,7.04,6.1,0,0,0,0,1.41,0,2.35,0,0
2013-07-23,AAPL,Tim Cook,executive,"We will see, Gene. We are working on some stuff that we are really proud of and we will see how it does, and we will announce things when we are ready.",question_answer,Unscripted,Chief Executive Officer,executive,32,1,99,2.67,99,6.25,75,31.25,18.75,0,18.75,0,0,0,12.5,0,6.25,21.88,9.38,12.5,0,31.25,0,0,6.25,0,3.12,6.25,6.25,0,0,0,0,18.75,0,0,0,0,9.38,0,3.12,0,3.12,0,3.12,6.25,6.25,0,0,0,0,0,0,0,25,18.75,6.25,0,0,0,0,18.75,9.38,6.25,0,3.12,3.12,3.12,0,0,0,0,0,0,0,0,0,0,0,12.5,6.25,6.25,0,0,0,0,0,0,0,0,0
2013-01-24,AAPL,Tim Cook,executive,"Sure. Let me take the second part of that first. I think overall our team did just a fantastic job ramping a record number of new products during the quarter. We did have significant shortages due to robust demand on both iPad mini and both models of the iMac that persisted the entire quarter. And we are still short of both of those today as the matter of fact. Additionally, supply of iPhone 5 which short to demand until late in the quarter and iPhone 4 was short for the entire quarter, we believe that we can achieve a supply demand balance on iPad mini during this quarter and on iPhone 4 during this quarter. On iMac, we are confident that we are going to significantly increase the supply, but the demand here is very strong and we are not certain that we will achieve a supply demand balance during the quarter. In terms of cannibalization and how we think about this, I see cannibalization as a huge opportunity for us. One, our base philosophy is to never fear cannibalization. If we do, somebody else will just cannibalize it and so we never fear it. We know that iPhone has cannibalized some iPod business. It doesn’t worry us, but it’s done that. We know that iPad will cannibalize some Macs that doesn’t worry us. On iPad in particular, we have the mother of all opportunities here, because the Windows market is much, much larger than the Mac market is. And I think it is clear that it is clear that it’s already cannibalizing some and I think there is a tremendous amount more opportunity there. And as you know, I have said for two or three, actually three years now I believe that I believe the tablet market will be larger than the PC market at some point. And I still believe that. And you can see by the growth in tablets and the pressure on PCs that those lines are beginning to converge. And I think the other thing for us maybe not for others, but for us is if somebody will buys an iPad mini or an iPad and it’s their first Apple product, we had great experience through the years of knowing that when somebody buys their first Apple product that a percentage of these people windup buying another type of Apple product. And so if you remember what we had termed the halo effect for some time with the iPod, with the Mac, we are very confident that, that will happen and we are seeing some evidence of that on the iPad as well. And so I see cannibalization as a huge opportunity.",question_answer,Unscripted,Chief Executive Officer,executive,447,43.42,76.3,42.79,55.28,14.54,57.94,18.57,9.17,2.46,5.59,0.67,0,0.45,9.4,7.38,12.08,9.17,5.15,8.5,1.34,14.09,4.7,2.46,0.89,4.03,4.25,3.8,2.68,1.12,1.12,0,0,8.28,0.22,0,0.22,0,13.65,3.58,1.57,0.67,3.58,2.68,3.58,1.79,1.34,0.22,0,0,0,0,0,0,11.19,5.82,2.91,2.68,2.24,0,2.01,10.96,1.57,10.96,0.67,5.15,5.15,3.36,0.67,0.22,1.79,0,0,0.22,0,0,0,0.22,0,9.84,4.7,4.03,0,0,0,0,0,0,1.12,0,0
2013-01-24,AAPL,Tim Cook,executive,"I don’t have those specific numbers in front of me but the iPhone 5 obviously with the numbers that we’re selling, we’re selling to a lot of new customers.",question_answer,Unscripted,Chief Executive Officer,executive,29,84.23,50,47.93,25.77,24.14,58.62,20.69,13.79,6.9,6.9,0,0,0,6.9,10.34,17.24,6.9,0,3.45,3.45,20.69,6.9,0,0,3.45,3.45,0,0,0,0,0,0,6.9,0,0,0,0,13.79,0,0,0,3.45,6.9,3.45,0,0,0,0,0,0,0,0,0,6.9,6.9,0,0,0,0,0,13.79,0,10.34,0,6.9,3.45,3.45,0,0,10.34,0,0,0,0,0,0,0,0,17.24,3.45,3.45,0,0,0,0,0,0,10.34,0,0
2013-01-24,AAPL,Tim Cook,executive,"But Bill, let me make one additional point on this, I know there has been lots of rumors about order cuts and so forth and so let me just take a moment to make a comment on these, I don’t want to comment on any particular rumor because I would spend my life doing that but I would suggest it's good to question the accuracy of any kind of rumor about build plans and also stress that even if a particular data point were factual it would be impossible to accurately interpret the data point as to what it meant for our overall business because the supply chain is very complex and we obviously have multiple sources for things, yields might vary, supply performance can vary. The beginning inventory positions can vary, I mean there is just an inordinate long list of things that would make any single data point not a great proxy for what’s going on.",question_answer,Unscripted,Chief Executive Officer,executive,157,35.6,42.42,19.89,37.02,16.56,54.78,14.01,6.37,5.1,1.27,0,0,0,7.64,5.73,11.46,12.74,7.01,8.28,1.27,19.75,5.73,1.91,1.27,1.27,3.82,1.91,1.27,0.64,0.64,0,0,5.73,0,0,0,0,22.93,3.82,3.82,4.46,7.64,2.55,2.55,0,0,0,0,0.64,0,0.64,0,0,5.1,1.27,0.64,0.64,1.91,0.64,1.91,13.38,1.91,8.92,0.64,6.37,1.27,1.91,0,0,1.91,0,0,0,0,0,0,0,0,7.01,1.27,3.82,0,0,0,0,0,0,1.91,0,0
2012-01-25,AAPL,Tim Cook,executive,"In the enterprise space, we've seen -- as an example, we've seen iPhones sort of being a catalyst. And the iPad moves after the iPhone. And in several accounts, we've seen the Mac follow that. And so there are clear examples where one product has pulled the other. And at a macro level, how much it's happening, it's very difficult to put our fingers on, but many customers, consumers, enterprise, education, they're all pointing that out. And as you know, we've seen that phenomenon before with the halo that the iPod created for the Mac back at the early 2002, 2003, 2004 range. And so it's not a phenomenon that is new to us.",question_answer,Unscripted,Chief Executive Officer and Director,executive,113,59.17,83.49,45.71,25.77,16.81,56.64,14.16,6.19,0,5.31,0.88,0,0,7.96,11.5,13.27,10.62,6.19,10.62,0.88,20.35,7.08,3.54,1.77,3.54,3.54,1.77,0.88,0.88,0,0,0,7.08,0,0,0,0,8.85,0.88,2.65,0,0.88,1.77,2.65,5.31,4.42,0,0.88,0.88,0.88,0,0,0,7.96,5.31,0.88,0.88,0,0.88,7.96,8.85,0,16.81,3.54,8.85,5.31,3.54,0.88,0,2.65,0,0,0,0,0,0,0,0,26.55,6.19,11.5,0,0,0,0,1.77,0,7.08,0,0
2012-04-25,AAPL,Tim Cook,executive,"Yes, Rich, it's Tim. As you said, we did outgrow the market. Macs grew at about 7% where the market grew about 2%. And so this is the 24th straight quarter that we've outgrown the market, and so we're extremely pleased with that. The compare to last year is largely affected by the fact that we changed the bulk of our portable line, or the MacBook Pros, in the February time frame of 2011. And so it's a very tough compare. Specifically, the portables last year were up 53% year-on-year. And obviously, that -- so that compare was very difficult. If you look at it sequentially, you also have to factor in that we had 14 weeks in the December quarter. And so the 26% year-over-year growth in December quarter is probably more like 17% when you factor out that 14th week. And so yes, I think there was some cannibalization from iPad and the market is slow. But the much, much larger factor and in fact, in -- it might be the vast majority of the difference is the compare to a year ago.",question_answer,Unscripted,Chief Executive Officer and Director,executive,187,60.81,80.38,69.52,35.09,15.51,56.68,12.3,5.88,0.53,3.21,2.14,0,0,6.42,10.16,13.37,8.56,9.09,10.7,0,12.83,7.49,4.81,1.07,5.35,2.67,2.14,1.07,0.53,0,0,0,5.88,0,0,0,0,9.63,0.53,2.67,0.53,2.67,2.67,2.14,1.07,0.53,0.53,0,0,0,0,0,0,5.88,3.21,0,2.14,0,0.53,6.42,6.42,0.53,21.39,2.67,9.09,10.16,2.14,0,0,2.67,0,0,1.07,0,0,1.07,0,0,21.93,6.42,6.42,0,0,0,0,4.28,0,2.14,0,2.67
2019-01-30,AAPL,Tim Cook,executive,"Steve, it's Tim. If you look at what we did this past year, we priced the iPhone Xs in the U.S. the same as we priced the iPhone X a year ago. The iPhone Xs Max which was new was $100 more than the Xs. And then we priced the XR right in the middle of where the entry iPhone 8 and entry iPhone 8 Plus have been priced. So, it's actually a pretty small difference in the United States compared to last year. However, the foreign exchange issue that Luca spoke of in the call and -- made that difference or amplified that difference in international markets, in particular the emerging markets which tended to move much more significantly versus the dollar. And so what we have done in January and in some locations and some products is essentially absorbed part or all of the foreign currency move as compared to last year and therefore get close or perhaps right on the local price from a year ago. So, yes, I do think that price is a factor. I think part of it is that, the FX piece. And then secondly in some markets as I had talked about in my prepared remarks, the subsidy is probably the bigger of the issues in the developed markets. I had mentioned Japan, but also even in this country even though the subsidy has gone away for a period of time. If you're a customer that your last purchase was a 6s or 6 or in some cases even a 7, you may have paid $199 for – and now in an unbundled world it's obviously much more than that. And so we are working through those and we've got a number of actions to address that including the trade-in and the installment payments which I had mentioned as well.",question_answer,Unscripted,Chief Executive Officer,executive,307,72.98,55.17,71.62,37.29,15.64,56.68,12.05,5.54,1.95,2.28,1.3,0,0,6.51,11.07,14.01,8.14,6.19,11.07,0,12.7,6.51,5.86,1.95,1.95,4.23,0.65,0.65,0,0,0,0,5.21,0,0,0,0,10.75,0.65,1.3,0.65,4.89,0.65,5.54,0.98,0.33,0.65,0,0,0,0,0,0,4.23,2.28,0.33,0.65,0.98,0,6.51,6.84,1.3,16.94,1.3,9.77,5.86,3.26,0,0.33,5.86,0,0,0.65,0,0,0.33,0.33,0,11.73,4.89,3.58,0,0,0,0,0.98,0,1.63,0,0.65
2021-04-29,AAPL,Tim Cook,executive,"Our ATT's focus is really on the user and giving the user the ability to make a decision about whether they want to be tracked or not. And so it's putting the user in the control. Not Apple, not another company, but the user of where it should be. And so that's really the focus of it. And the feedback that we've gotten from users, both before it went live when it was in the planning stages and so forth and after, has been tremendous. And so we're really standing up on behalf of the consumer here.",question_answer,Unscripted,Chief Executive Officer,executive,97,33.78,37.84,47.46,44.66,13.4,69.07,12.37,4.12,0,3.09,0,0,1.03,8.25,11.34,14.43,10.31,11.34,15.46,3.09,17.53,2.06,2.06,3.09,0,2.06,1.03,1.03,0,0,0,0,6.19,0,0,0,0,14.43,1.03,2.06,2.06,1.03,0,9.28,0,0,0,0,1.03,0,1.03,0,0,8.25,3.09,2.06,2.06,1.03,0,5.15,10.31,1.03,12.37,2.06,7.22,3.09,3.09,0,0,1.03,0,0,0,0,0,0,0,0,15.46,6.19,4.12,0,0,0,0,0,0,5.15,0,0
2021-04-29,AAPL,Tim Cook,executive,"I don't even know the answer to that. It's not something that we would have predicted beforehand. And frankly, even if it's very low of people that don't want to be tracked, it's worth doing because of the -- those people should have the -- should make their own mind up, whether they would like to be tracked or not.",question_answer,Unscripted,Chief Executive Officer,executive,58,1.92,24.51,1,25.77,15.52,72.41,20.69,6.9,1.72,1.72,0,0,3.45,13.79,5.17,10.34,24.14,5.17,8.62,6.9,29.31,0,0,1.72,0,0,3.45,1.72,1.72,0,0,1.72,8.62,0,0,0,0,27.59,3.45,3.45,10.34,5.17,1.72,8.62,0,0,0,0,0,0,0,0,0,5.17,1.72,0,3.45,0,0,0,20.69,1.72,3.45,0,3.45,0,0,0,0,1.72,0,0,0,0,0,0,0,0,25.86,5.17,5.17,0,0,0,0,6.9,0,8.62,0,0
2015-04-28,AAPL,Tim Cook,executive,"First of all, I think it’s about giving the customer something they want and giving to them in Apples classic ease of use and in the product environments and the user interface that they’re used to working in, in this case Apple TV. And so I think HBO in particular has some incredibly great content. And so we’re marrying their great content, our great product and ecosystem, and it’s clear from looking at the early returns - you know, we’ve only been at this for a couple of weeks or so - that there’s a lot of traction in there. And so where could it go? I don’t want to speculate, but you can speculate probably as good as I can about where that can go. I think we’re on the early stages of just major, major changes in media that are going to be really great for consumers, and I think Apple could be a part of that.",question_answer,Unscripted,CEO,executive,157,39.04,69.48,45.89,97.1,14.01,61.15,16.56,9.55,3.82,2.55,1.27,0,1.91,7.01,5.1,17.2,10.19,8.92,10.83,0.64,19.75,7.01,1.91,1.27,0.64,3.18,5.1,5.1,0,0,0,0,7.64,0,0,0,0,14.65,3.18,3.18,2.55,3.18,1.27,1.91,1.27,1.27,0,0,0,0,0,0,0,7.01,2.55,1.27,0,3.18,0,1.91,15.29,0.64,14.01,2.55,8.28,3.18,3.18,1.27,0,1.27,0,0,0,0,0,0,0,0,15.29,3.18,5.1,0,0,0.64,0,1.27,0,5.1,0,0
2016-01-27,AAPL,Tim Cook,executive,"Toni, we do think that iPhone units will decline in the quarter. We don't think that they will decline to the levels that you're talking about. We aren't projecting beyond the quarter, as Luca mentioned earlier. But at this point in time, we see that Q2 is the toughest compare. We believe it's the toughest compare because of the year ago quarter also had catch up in it from Q1. If you recall, we were heavily supply constrained throughout the whole of Q1 and so some of that demand moved into Q2. Plus we're in an environment now that is dramatically different from a macroeconomic point of view than last Q2, from a currency point of view, from the level of which we've had to adjust pricing in several of these markets, and sort pf the overall [Indiscernible] in virtually every country in the world. And so it's really all of those factors that play in there and it's difficult to sort out how much is due to which one.",question_answer,Unscripted,CEO,executive,170,73.04,79.49,66.34,25.77,18.82,58.82,15.88,6.47,0,4.71,1.18,0,0.59,9.41,7.65,20,9.41,5.88,7.65,1.18,13.53,5.29,4.71,1.76,2.35,3.53,1.18,0.59,0.59,0,0,0,7.65,0,0,0,0,11.76,2.35,1.18,0.59,3.53,1.18,4.12,1.76,1.76,0,0,0,0,0,0,0,7.06,4.71,0,1.18,0.59,0.59,4.12,9.41,1.18,17.65,1.18,12.35,4.12,0.59,1.18,0,1.76,0,0,0,0,0,0,0,0,14.71,4.71,4.12,0,0,0,0,0,0,4.71,0,1.18
2012-10-26,AAPL,Tim Cook,executive,"On your question about iPad Mini, the comment that I think you’re referencing are comments that Steve had made before about 7-inch tablet. And let me be clear, we would not make one of the 7-inch tablets. We don’t think they’re good products, and we would never make one. Not just because it’s 7-inches, but for many reasons. One of the reasons however, is size, and so I am not sure if you saw our keynote. But the difference in just the realistic size between the 7.9, almost 8 versus 7 is 35%. And when you look at the usable area, it’s much greater than that. It’s from 50% to 67%. And also, the iPad Mini has the same number of pixels as iPad 2 does. And so you have access to all 275,000 apps that are in our App Store that have been custom-designed to take advantage of the four (inaudible). And so iPad Mini is the fantastic product. it’s not a compromised product like the 7-inch tablets; it’s in our whole different leap.",question_answer,Unscripted,Chief Executive Officer,executive,181,33.1,60.89,25.92,76.76,13.26,56.35,13.26,7.73,1.66,3.31,2.76,0,0,5.52,7.18,12.15,13.26,6.63,9.94,3.31,17.68,4.97,4.42,0.55,9.39,2.21,2.76,2.76,0,0,0,0,8.29,0,0,0,0,17.68,3.31,4.97,1.66,1.66,2.21,6.63,2.21,1.66,0.55,0,0,0,0,0,0,6.08,3.87,0.55,0,2.21,0,2.21,13.81,0,7.18,0,5.52,1.66,1.66,0,0,0.55,0,0,1.1,0,1.1,0,0,0,22.65,6.63,5.52,0,0.55,0,0,2.76,0,4.42,1.1,1.66
